"result","Text"
"SPAM","You can stop further club tones by replying STOP MIX See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)"
"SPAM","URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM"
"HAM","Yup i shd haf ard 10 pages if i add figures... u all got how many pages?"
"HAM","Ok thanx..."
"HAM","Aight, tomorrow around  #  it is"
"HAM","Is toshiba portege m100 gd?"
"SPAM","Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p"
"HAM","Thats cool! I am a gentleman and will treat you with dignity and respect."
"HAM","Sat right? Okay thanks..."
"HAM","Okie... Thanx..."
"HAM","Wife.how she knew the time of murder exactly"
"SPAM","Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar"
"HAM","God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
"HAM","Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem"
"HAM","Yes fine"
"HAM","Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to DRINK. . . But don't DRIVE"
"HAM","Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life."
"HAM","Thankyou so much for the call. I appreciate your care."
"HAM","K.k..how is your sister kids?"
"HAM","Sorry, I'll call later"
"HAM","Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT & HAVE A NICE SLEEP..SWEET DREAMS.."
"HAM","Happy new years melody!"
"HAM","Dear good morning how you feeling dear"
"HAM","All boys made fun of me today. Ok i have no problem. I just sent one message just for fun"
"HAM","Its ok., i just askd did u knw tht no?"
"HAM","U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM"
"SPAM","URGENT! Your mobile No 077xxx WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm"
"HAM","Well, I meant as opposed to my drunken night of before"
"HAM","Dont think so. It turns off like randomlly within 5min of opening"
"SPAM","You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7"
"HAM","Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  #  to my account and  # dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
"HAM","Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive"
"HAM","Come aftr  DECIMAL ..now i m cleaning the house"
"HAM","Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
"SPAM","You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm"
"HAM","I wonder if you'll get this text?"
"HAM","i see. When we finish we have loads of loans to pay"
"HAM","Sorry pa, i dont knw who ru pa?"
"HAM","Neva mind it's ok.."
"HAM","I hope you know I'm still mad at you."
"HAM","Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
"SPAM","Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
"HAM","Can u get pic msgs to your phone?"
"SPAM","YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
"HAM","Maybe westshore or hyde park village, the place near my house?"
"HAM","Remind me how to get there and I shall do so"
"HAM","My sister in law, hope you are having a great month. Just saying hey. Abiola"
"HAM","Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
"SPAM","SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
"HAM","Are you this much buzy"
"HAM","Honeybee Said: *I'm d Sweetest in d World* God Laughed & Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
"HAM","So that means you still think of teju"
"HAM","I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?"
"HAM","Already am squatting is the new way of walking"
"HAM","1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
"HAM","I think u have the wrong number."
"HAM","Lets use it next week, princess :)"
"HAM","Sorry, I'll call later"
"HAM","He remains a bro amongst bros"
"HAM","No..few hours before.went to hair cut ."
"HAM","somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite & sweet dreams"
"HAM","I am not having her number sir"
"HAM","Yo my trip got postponed, you still stocked up?"
"HAM","For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and con me. It makes me want to listen to you less."
"HAM","I didnt get ur full msg..sometext is missing, send it again"
"HAM","HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN"
"HAM","Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon.."
"HAM","Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)"
"HAM","Id onluy matters when getting on from offcampus"
"HAM","I liked your new house"
"HAM","ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX."
"HAM","Fair enough, anything going on?"
"HAM","ALSO TELL HIM I SAID HAPPY BIRTHDAY"
"HAM","Ill be there on  #  ok."
"HAM","How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  # . Good listener  # . Organizer  # . Good boyfriend  # . Very clean  # . Sympathetic  # . Athletic  # . Warm . . .  # . Courageous  # . Determined  # . True  # . Dependable  # . Intelligent . . .  # . Psychologist  # . Pest exterminator  # . Psychiatrist  # . Healer . .  # . Stylist  # . Driver . . Aaniye pudunga venaam.."
"HAM","Still in the area of the restaurant. Ill try to come back soon"
"HAM","hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
"SPAM","GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm"
"SPAM","Did you hear about the new Divorce Barbie? It comes with all of Ken's stuff!"
"HAM","How many times i told in the stage all use to laugh. You not listen aha."
"HAM","I havent lei.. Next mon can?"
"HAM","Dont pick up d call when something important is There to tell. Hrishi"
"HAM","Lol well don't do it without me. We could have a big sale together."
"HAM","Am only searching for good dual sim mobile pa."
"SPAM","Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply."
"HAM","Si si. I think ill go make those oreo truffles."
"HAM","Tiwary to rcb.battle between bang and kochi."
"HAM","Just woke up. Yeesh its late. But I didn't fall asleep til # am :/"
"HAM","Oh...i asked for fun. Haha...take care. u"
"HAM","How? Izzit still raining?"
"SPAM","Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout"
"SPAM","Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery"
"HAM","Pls send me the correct name da."
"HAM","Dear got train and seat mine lower seat"
"HAM","Why i come in between you people"
"HAM","Can... I'm free..."
"HAM","Oh ok no prob.."
"HAM","Ok can..."
"HAM","Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?"
"HAM","U coming 2 pick me?"
"HAM","Reason is if the team budget is available at last they buy the unsold players for at base rate.."
"HAM","Oooh bed ridden ey? What are YOU thinking of?"
"SPAM","Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50"
"HAM","Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola"
"HAM","And of course you should make a stink!"
"HAM","A few people are at the game, I'm at the mall with iouri and kaila"
"SPAM","<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches"
"SPAM","WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM"
"HAM","Is xy going 4 e lunch?"
"HAM","I'm in school now n i'll be in da lab doing some stuff give me a call when u r done."
"SPAM","This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com"
"HAM","Fyi I'm taking a quick shower, be at epsilon in like  #  min"
"HAM","Nope i'm not drivin... I neva develop da photos lei..."
"HAM","Sorry, I'll call later"
"HAM","Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
"HAM","You got job in wipro:)you will get every thing in life in 2 or 3 years."
"SPAM","We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
"HAM","Hi where you. You in home or calicut?"
"HAM","There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?"
"HAM","No message..no responce..what happend?"
"HAM","Great. I'm in church now, will holla when i get out"
"HAM","will you like to be spoiled? :)"
"HAM","They don't put that stuff on the roads to keep it from getting slippery over there?"
"HAM","Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color"
"HAM","Lol I was gonna last month. I cashed some in but I left # just in case. I was collecting more during the week cause they announced it on the blog."
"HAM","Me too baby! I promise to treat you well! I bet you will take good care of me..."
"HAM","Thanx but my birthday is over already."
"HAM","About  # bucks. The banks fees are fixed. Better to call the bank and find out."
"HAM","Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
"HAM","Yes.he have good crickiting mind"
"HAM","Are you still playing with gautham?"
"SPAM","URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
"HAM","I asked sen to come chennai and search for job."
"HAM","Ya had just now.onion roast."
"HAM","Yeah I'll try to scrounge something up"
"HAM","How i noe... She's in da car now... Later then c lar... I'm wearing shorts..."
"HAM","Small problem in auction:)punj now asking tiwary"
"HAM","Welp apparently he retired"
"HAM","Okay same with me. Well thanks for the clarification"
"HAM","Slept? I thinkThis time ( #  pm) is not dangerous"
"HAM","Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side"
"HAM","Jordan got voted out last nite!"
"SPAM","How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?"
"HAM","How much you got for cleaning"
"HAM","I will once i get home"
"HAM","Tension ah?what machi?any problem?"
"HAM","Lol now I'm after that hot air balloon!"
"HAM","Play w computer? Aiyah i tok 2 u lor?"
"SPAM","Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705"
"HAM","I'm not coming home 4 dinner."
"HAM","Bring it if you got it"
"HAM","What pa tell me.. I went to bath:-)"
"HAM","YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"
"HAM","Looks like you found something to do other than smoke, great job!"
"HAM","My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care"
"SPAM","all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
"SPAM","LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms"
"HAM","I not free today i haf 2 pick my parents up tonite..."
"HAM","WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!"
"HAM","Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
"SPAM","URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
"SPAM","Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&"
"HAM","Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?"
"HAM","Oh yeah I forgot. U can only take 2 out shopping at once."
"HAM","We don call like  #  times oh. No give us hypertension oh."
"HAM","Going to join tomorrow."
"HAM","Like  # , same question"
"HAM","U calling me right? Call my hand phone..."
"SPAM","4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt"
"HAM","Sorry, I'll call later"
"HAM","You tell what happen dont behave like this to me. Ok no need to say"
"HAM","I wanna watch that movie"
"HAM","Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?"
"HAM","Gimme a few was  #  minutes ago"
"HAM","Pls call me da. What happen."
"HAM","Ok then u tell me wat time u coming later lor."
"HAM","Just now saw your message.it k da:)"
"HAM","U still havent got urself a jacket ah?"
"HAM","Beerage?"
"HAM","Are you there in room."
"HAM","Thanx 4 the time we’ve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
"HAM","Hope you are having a great day."
"SPAM","URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
"HAM","Yes i have. So that's why u texted. Pshew...missing you so much"
"HAM","I called but no one pick up e phone. I ask both of them already they said ok."
"HAM","Shall i start from hear."
"HAM","Ok how you dear. Did you call chechi"
"HAM","I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
"HAM","That day u say u cut ur hair at paragon, is it called hair sense? Do u noe how much is a hair cut?"
"HAM","I want to be there so i can kiss you and feel you next to me"
"HAM","I think if he rule tamilnadu..then its very tough for our people."
"HAM","2 celebrate my b’day, y else?"
"HAM","Do you know why god created gap between your fingers..? So that, One who is made for you comes & fills those gaps by holding your hand with LOVE..!"
"HAM","Sorry, I'll call later ok bye"
"HAM","Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao."
"SPAM","This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate"
"HAM","Yunny... I'm goin to be late"
"SPAM","Adult 18 Content Your video will be with you shortly"
"HAM","I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages.."
"HAM","Sorry, I'll call later"
"HAM","I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|"
"HAM","Arun can u transfr me d amt"
"SPAM","UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub"
"HAM","Ya, told..she was asking wats matter?"
"HAM","Tell me something. Thats okay."
"HAM","You always make things bigger than they are"
"HAM","Thinkin about someone is all good. No drugs for that"
"HAM","Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok."
"HAM","No..but heard abt tat.."
"HAM","I wish u were here. I feel so alone"
"HAM","Cos daddy arranging time c wat time fetch u mah..."
"HAM","It vl bcum more difficult.."
"HAM","We will meet soon princess! Ttyl!"
"HAM","Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
"HAM","I am in office:)whats the matter..msg me now.i will call you at break:)."
"HAM","BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP..."
"HAM","House-Maid is the murderer, coz the man was murdered on  # th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
"HAM","what I meant to say is cant wait to see u again getting bored of this bridgwater banter"
"SPAM","Please CALL 08712402779 immediately as there is an urgent message waiting for you"
"HAM","Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
"HAM","Are you willing to go for apps class."
"HAM","Yeah, we got one lined up for us"
"SPAM","Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+"
"HAM","This pain couldn't have come at a worse time."
"HAM","Wat time r u going to xin's hostel?"
"SPAM","Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net"
"HAM","Dunno dat's wat he told me. Ok lor..."
"HAM","Huh? 6 also cannot? Then only how many mistakes?"
"SPAM","Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx"
"HAM","I wanted to ask u to wait 4 me to finish lect. Cos my lect finishes in an hour anyway."
"HAM","Total video converter free download type this in google search:)"
"SPAM","You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99"
"HAM","Height of Oh no....!! situation: A guy throws a luv letter on a gal but falls on her brother,.;-):-D"
"HAM","Yup song bro. No creative. Neva test quality. He said check review online."
"SPAM","WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3"
"HAM","Fine am simply sitting."
"SPAM","GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd"
"HAM","MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED"
"HAM","Company is very good.environment is terrific and food is really nice:)"
"HAM","K..k:)where are you?how did you performed?"
"HAM","Did you say bold, then torch later. Or one torch and 2bold?"
"HAM","You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later."
"SPAM","Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!"
"HAM","You could have seen me..i did't recognise you Face.:)"
"HAM","The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
"HAM","India have to take lead:)"
"HAM","Carlos'll be here in a minute if you still need to buy"
"HAM","Hello, As per request from  #  Rs.5 has been transfered to you"
"HAM","If you hear a loud scream in about # minutes its cause my Gyno will be shoving things up me that don't belong :/"
"HAM","Ok..."
"HAM","Sorry, I'll call later"
"SPAM","I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over."
"HAM","There the size of elephant tablets!!"
"HAM","Yeah I am, so I'll leave maybe 7ish?"
"HAM","I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
"HAM","Good Morning my Dear........... Have a great & successful day."
"SPAM","Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
"SPAM","Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B"
"HAM","Ok..."
"HAM","Just curious because my cuz asked what I was up to"
"HAM","Then we gotta do it after that"
"HAM","Dont you have message offer"
"HAM","Only just got this message, not ignoring you. Yes, i was. Shopping that is"
"HAM","He needs to stop going to bed and make with the dealing"
"HAM","Pls she needs to dat slowly or she will vomit more."
"HAM","Meet after lunch la..."
"HAM","Your account has been refilled successfully by INR  DECIMAL . Your KeralaCircle prepaid account balance is Rs  DECIMAL . Your Transaction ID is KR # ."
"HAM","Nothing spl..wat abt u and whr ru?"
"HAM","Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ..."
"HAM","say thanks2."
"SPAM","HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com"
"HAM","Yup i've finished c u there..."
"HAM","K come to nordstrom when you're done"
"HAM","Dad went out oredi..."
"HAM","This is one of the days you have a billion classes, right?"
"HAM","Good Morning plz call me sir"
"HAM","Yeah there's barely enough room for the two of us, x has too many shoes. Sorry man, see you later"
"SPAM","Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p"
"HAM","Yo! Howz u? girls never rang after india. L"
"HAM","I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time"
"HAM","Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday."
"HAM","Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai.........."
"HAM","Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
"HAM","Wat time do u wan 2 meet me later?"
"HAM","I think just yourself ...Thanks and see you tomo"
"HAM","I sent them. Do you like?"
"HAM","Ok... Help me ask if she's working tmr a not?"
"HAM","No problem. Talk to you later"
"HAM","How dare you change my ring"
"HAM","I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay"
"SPAM","Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705"
"SPAM","FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)"
"HAM","Jus ans me lar. U'll noe later."
"HAM","Alright we'll bring it to you, see you in like  #  mins"
"HAM","I don't think I can get away for a trek that long with family in town, sorry"
"SPAM","EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+"
"HAM","Oh, then your phone phoned me but it disconnected"
"HAM","see you then, we're all christmassy here!"
"HAM","Actually, just do whatever, do find an excuse to be in tampa at some point before january though"
"HAM","It is only yesterday true true."
"SPAM","You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX"
"HAM","Ho ho - big belly laugh! See ya tomo"
"HAM","You'd like that wouldn't you? Jerk!"
"HAM","So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
"HAM","Sorry, I'll call later in meeting any thing related to trade please call Arul. #"
"HAM","My planning usually stops at find hella weed, smoke hella weed"
"HAM","U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?"
"HAM","I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui."
"HAM","Did you stitch his trouser"
"HAM","Short But Cute :  Be a good person , but dont try to prove ..... Gud mrng..."
"HAM","7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st Ur Lovely Friendship... good morning dear"
"HAM","Black shirt n blue jeans... I thk i c u..."
"HAM","Yes. Last  practice"
"HAM","Okay... I booked all already... Including the one at bugis."
"HAM","Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!"
"HAM","Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  #  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe"
"HAM","Didn't try, g and I decided not to head out"
"HAM","I cant pick the phone right now. Pls send a message"
"HAM","To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola"
"HAM","Much better now thanks lol"
"HAM","I'm reading the text i just sent you. Its meant to be a joke. So read it in that light"
"HAM","Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  #  sent msg i wil explain u later."
"HAM","Do you know why god created gap between your fingers..? So that, One who is made for you comes & fills those gaps by holding your hand with LOVE..!"
"HAM","Can not use foreign stamps in this country."
"HAM","Erm ... ill pick you up at about 6.45pm. That'll give enough time to get there, park and that."
"HAM","I got like $ # , I can get some more later though. Get whatever you feel like"
"HAM","Hey mr whats the name of that bill brison book the one about language and words"
"HAM","My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!"
"SPAM","URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU"
"HAM","Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
"HAM","I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them."
"HAM","Huh y lei..."
"SPAM","PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires"
"HAM","I wait 4 u inside da car park..."
"HAM","Can i get your opinion on something first?"
"HAM","Will you come online today night"
"HAM","Be sure to check your yahoo email. We sent photos yesterday"
"HAM","Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  EMAIL ,kerala"
"HAM","Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today."
"HAM","When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
"HAM","Ahhh. Work. I vaguely remember that! What does it feel like? Lol"
"HAM","Ok."
"HAM","The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
"HAM","Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen."
"HAM","He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
